Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
11/22/1993 22:43,Nicaragua,11.718,-86.084,112.6,5.9ÿ{\displaystyle M_{\mathrm {w} }},,0,1,,,,
11/30/1993 20:37,China,39.326,75.505,12.7,5.6ÿ{\displaystyle M_{\mathrm {w} }},,0,0,2,,,
1/17/1994 12:30,United States (seeÿ1994 Northridge earthquake),34.164,-118.563,19,6.7ÿ{\displaystyle M_{\mathrm {w} }},"L,Lq",60,60,60,,33[8],
1/21/1994 2:24,Indonesia,1.043,127.773,20,6.9ÿ{\displaystyle M_{\mathrm {w} }},,7,7,7,7,,
2/5/1994 23:34,Uganda,0.558,30.081,14,6.2ÿ{\displaystyle M_{\mathrm {w} }},L,2,4,8,7,,
2/15/1994 17:07,Indonesia,-4.999,104.255,23,6.8ÿ{\displaystyle M_{\mathrm {w} }},L,,207,207,207,,
2/23/1994 8:02,Iran,30.788,60.532,7,6.1ÿ{\displaystyle M_{\mathrm {w} }},,6,6,6,9,,
3/1/1994 3:49,Iran,29.143,52.638,12.9,6.0ÿ{\displaystyle M_{\mathrm {w} }},L,2,2,2,3,,
3/2/1994 3:38,Haiti,19.941,-72.814,6.7,5.4ÿ{\displaystyle M_{\mathrm {w} }},,4,4,4,,,
5/1/1994 12:00,Afghanistan,36.934,67.124,17.5,6.1ÿ{\displaystyle M_{\mathrm {w} }},,,,,160,,
5/26/1994 8:26,Morocco,35.25,-4.089,10,5.9ÿ{\displaystyle M_{\mathrm {w} }},,0,0,2,,,
6/2/1994 18:17,Indonesia (seeÿ1994 Java earthquake),-10.409,112.934,34.5,7.8ÿ{\displaystyle M_{\mathrm {w} }},T,,277,277,,,
6/5/1994 1:09,Taiwan,24.455,121.85,11,6.3ÿ{\displaystyle M_{\mathrm {w} }},"T,L",1,1,1,,,
6/6/1994 20:47,Colombia (seeÿ1994 Paez river earthquake),2.908,-75.971,12,6.8ÿ{\displaystyle M_{\mathrm {w} }},L,295,795,800,,,
6/9/1994 0:33,Bolivia (seeÿ1994 Bolivia earthquake),-13.86,-67.512,631,8.2ÿ{\displaystyle M_{\mathrm {w} }},L,1,5,10,0,,
6/20/1994 9:09,Iran,29.053,52.671,10.8,5.9ÿ{\displaystyle M_{\mathrm {w} }},L,3,3,3,2,,
7/4/1994 21:36,Mexico,14.887,-97.312,15,6.4ÿ{\displaystyle M_{\mathrm {w} }},,2,2,2,,,
8/18/1994 1:13,Algeria,35.464,-0.084,9,5.8ÿ{\displaystyle M_{\mathrm {w} }},,159,159,159,171,,
9/1/1994 7:11,South Africa,-26.447,27.405,5,2.7ÿ{\displaystyle M_{\text{L}}},,0,3,,,,
9/16/1994 6:20,Taiwan (seeÿ1994 Taiwan Strait earthquake),22.555,118.719,13,6.7ÿ{\displaystyle M_{\mathrm {w} }},,1,1,5,1,,
10/4/1994 13:22,Russian Federation,43.863,147.353,14,8.3ÿ{\displaystyle M_{\mathrm {w} }},"T,L",,11,11,5,,
10/8/1994 21:44,Indonesia,-1.206,127.98,17,6.8ÿ{\displaystyle M_{\mathrm {w} }},T,1,1,1,1,,
11/14/1994 19:15,Philippines,13.543,121.059,32,7.1ÿ{\displaystyle M_{\mathrm {w} }},"T,Lq",78,78,78,81,,
12/28/1994 12:19,Japan,40.523,143.43,27,7.7ÿ{\displaystyle M_{\mathrm {w} }},T,3,3,3,2,,
