Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
8/15/1918 12:18,Philippines,5.653,123.563,35,8.2ÿ{\displaystyle M_{\mathrm {w} }},,,,,100,,
9/7/1918 17:15,Russian Federation,46.812,150.253,242.4,7.6ÿ{\displaystyle m_{b}},T,,24,24,,,
10/11/1918 14:14,Puerto Rico (seeÿ1918 San Ferm¡n earthquake),18.473,-67.631,35,7.3ÿ{\displaystyle M_{\mathrm {w} }},T,,116,116,116,,
5/6/1919 19:40,Papua New Guinea,-5.477,152.629,232.8,7.6ÿ{\displaystyle m_{b}},T,,,,,,
6/5/1920 4:21,Taiwan,23.813,122.08,35,7.9ÿ{\displaystyle M_{\mathrm {w} }},,,5,5,,,
1/4/1920 4:22,Mexico,19.27,-97.08,15,6.2ÿ{\displaystyle M_{s}},L,,1500,,,1500[6],
2/20/1920 11:45,Georgia (seeÿ1920 Gori earthquake),42,44.1,11,6.2 UK,,,130,130,,,
9/7/1920 5:55,Italy,44.3,10.3,10,5.8 UK,,,171,171,,,
12/16/1920 12:05,China (seeÿ1920 Haiyuan earthquake),36.601,105.317,25,8.6ÿ{\displaystyle M_{s}},,,235502,235502,180000,,
12/17/1920 18:59,Argentina (seeÿ1920 Mendoza earthquake),-32.7,-68.4,10,6.0 UK,,,400,400,,,
8/14/1921,Eritrea (seeÿ1921 Massawa earthquake),15.61,39.445,,,,,,,,,
11/11/1921 18:36,Philippines,7.897,127.257,35,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,600,600,,,
4/26/1922 1:11,Japan,35.2,139.8,35,6.8ÿMJ,,,2,2,,,
9/1/1922 19:16,Taiwan,24.506,122.04,35,7.5ÿ{\displaystyle M_{\mathrm {w} }},,,5,5,,,
10/14/1922 23:45,Taiwan,24.5,122,35,6.9ÿMJ,,,6,6,,,
11/11/1922 4:32,Chile (seeÿ1922 Vallenar earthquake),-28.553,-70.755,35,8.7ÿ{\displaystyle M_{\mathrm {w} }},T,,1000,1000,1000,,
12/7/1922 16:50,Japan,32.7,130.1,5,6.9ÿMJ,,,26,26,,,
12/8/1922 2:02,Japan,32.7,130.1,5,6.5ÿMJ,,,,,,,
2/3/1923 16:01,Russian Federation,53.853,160.761,35,8.5ÿ{\displaystyle M_{\mathrm {w} }},T,,,,,,
3/24/1923 12:40,China,30.553,101.258,25,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,450,450,5000,,
4/13/1923 15:31,Russian Federation,55.415,162.585,35,7.1ÿ{\displaystyle M_{\mathrm {w} }},T,,18,18,,,
5/25/1923 22:21,Iran,35.2,59.2,,5.7 UK,,,2219,2219,,,
9/1/1923 2:58,Japan (seeÿ1923 Great Kant? earthquake),35.405,139.084,35,7.9 UK,"T,F",,142807,142807,143000,105000,https://en.wikipedia.org/wiki/1923_Great_Kant%C5%8D_earthquake
9/9/1923 22:03,Bangladesh,24.943,90.32,35,7.1ÿ{\displaystyle M_{s}},,,50,50,,,
9/17/1923 7:09,Iran,37.2,57.7,,6.4 UK,,,157,157,,,
9/22/1923 20:47,Iran,29.12,56.928,35,6.9 UK,,,290,290,,,
12/14/1923 10:31,Colombia,1,-77.5,,5.3 UK,,,300,300,,,
1/14/1924 20:50,Japan,35.5,139.2,5,7.3ÿMJ,,,19,19,,,
3/3/1924 8:01,Ecuador,-1.6,-78.6,,6.9 UK,,,40,40,,,
4/14/1924 16:20,Philippines (Mindanao),7.023,125.954,33,8.3,,,,,,,
7/3/1924 4:40,China,36.632,83.903,35,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,255,255,,,
7/12/1924 15:12,Kyrgyzstan,40.565,73.397,25,6.8 UK,,,41,41,,,
9/13/1924 14:34,Turkey (seeÿ1924 Pasinler earthquake),39.864,41.876,35,6.8 UK,,,30,30,,,
3/16/1925 14:42,China,25.688,100.494,25,7.0ÿ{\displaystyle M_{s}},,,5808,5808,5000,,
5/23/1925 2:09,Japan,35.6,134.8,5,6.8 UK,F,,428,428,,,
6/29/1925 14:42,United States,34.5,-119.6,,6.2 UK,,,13,13,,,
12/14/1925 0:00,Iran,34.6,58.1,,5.5 UK,,,500,500,,,
12/18/1925 5:53,Iran,28.5,51.2,,5.5 UK,,,2,2,,,
3/18/1926 14:06,Turkey,35.787,29.246,35,6.9 UK,,,,,,,
6/26/1926 19:46,Greece,36.605,26.888,101.8,7.7ÿ{\displaystyle m_{b}},,,110,110,,,
6/28/1926 3:23,Indonesia,-0.051,101.522,35,6.8 UK,,,222,222,,,
10/22/1926 19:59,Turkey (seeÿ1926 Kars earthquake),40.7,43.7,7,5.7 UK,,,370,370,,,
11/5/1926 7:55,Nicaragua,12.67,-86.736,35,7.1ÿ{\displaystyle m_{b}},,,,,,,
3/7/1927 9:27,Japan,35.802,134.924,9.6,7.6ÿ{\displaystyle M_{s}},"T,F",,2925,2925,2925,,
3/20/1927 0:00,China,24.1,102,,5.0 UK,,,7,7,,,
4/14/1927 6:23,Argentina,-32.477,-69.675,35,7.2ÿ{\displaystyle m_{b}},,,8,8,,,
5/22/1927 22:32,China (seeÿ1927 Gulang earthquake),37.386,102.311,25,7.9ÿ{\displaystyle M_{s}},,,80000,80000,200000,,https://en.wikipedia.org/wiki/1927_Gulang_earthquake
7/11/1927 13:04,Mandatory PalestineÿandÿTransjordanÿ(seeÿ1927 Jericho earthquake),32,35.5,33,6.3 UK,,,361,361,,,
8/24/1927 18:09,Taiwan,23.118,120.237,35,6.8 UK,,,11,11,,,
3/22/1928 4:17,Mexico,16.127,-96.505,35,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,,,,,,
3/31/1928 0:29,Turkey,38.1,27.1,,6.5 UK,,,170,170,,,
4/9/1928 17:34,Peru,-13.731,-70.628,35,6.8ÿ{\displaystyle M_{s}},,,10,10,,,
4/14/1928 9:00,Bulgaria,42.402,25.667,15,6.8 UK,,,107,107,107,,
4/18/1928 19:22,Bulgaria,42.386,25.087,15,6.8 UK,,,103,103,,,
5/14/1928 22:14,Peru,-5.261,-78.559,35,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,29,29,,,
8/21/1928 19:01,Iran,37.3,57.9,9,5.4 UK,,,10,10,,,
12/1/1928 4:06,Chile,-35.086,-71.683,35,7.7ÿ{\displaystyle M_{\mathrm {w} }},T,,225,225,,,
12/19/1928 11:37,Philippines,6.977,124.856,35,7.3ÿ{\displaystyle M_{\mathrm {w} }},T,,93,93,,,
1/17/1929 11:45,Venezuela,9.499,-64.381,35,6.9 UK,T,,,,,,
5/1/1929 15:37,Turkmenistan (seeÿ1929 Koppeh Dagh earthquake),37.957,57.693,25,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,3257,3257,3300,,
5/18/1929 6:37,Turkey,40.2,37.9,10,6.5 UK,,,64,64,,,
5/30/1929 9:43,Argentina,-34.768,-67.598,35,6.8 UK,,,52,52,,,
6/16/1929 22:47,New Zealand (seeÿ1929 Murchison earthquake),-41.831,172.292,35,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,,17,17,,,
7/13/1929 7:36,Iran,37.5,58,57,5.8 UK,,,5,5,,,
10/19/1929 10:12,Chile,-23.038,-68.737,35,7.4ÿ{\displaystyle m_{b}},,,,,,,
11/18/1929 20:32,Saint Pierre and Miquelon (seeÿ1929 Grand Banks earthquake),44.539,-56.008,15,7.3 UK,T,,52,52,,,
5/5/1930 13:45,Burma,17.665,96.543,35,7.2ÿ{\displaystyle M_{\mathrm {w} }},"T,F",,550,550,500,,
5/6/1930 22:34,Iran (seeÿ1930 Salmas earthquake),38.152,44.685,25,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,2514,2514,2500,,
5/14/1930 19:48,China,26.8,103,,6.0 UK,,,42,42,,,
7/23/1930 0:08,Italy (seeÿ1930 Irpinia earthquake),41.05,15.367,,6.6 UK,,,,,,1404,
10/30/1930 7:13,Italy,43.75,13.5,,6.0 UK,,,18,18,,,
11/21/1930 2:00,Albania,40.5,19.5,12,6.0 UK,,,35,35,,,
11/25/1930 19:02,Japan,34.977,139.103,35,6.9ÿ{\displaystyle M_{\mathrm {w} }},,,272,272,0,,
12/2/1930 13:29,Albania,40.3,19.6,4,5.0 UK,,,25,25,,,
12/3/1930 18:51,Burma,17.972,96.422,35,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,22,22,36,,
12/8/1930 8:01,Taiwan,23.2,120.6,,6.3 UK,,,4,4,,,
12/24/1930 6:02,Argentina,-24.7,-66.3,30,6.0 UK,,,36,36,,,
12/25/1930 19:03,Japan,35.1,133,5,7.0 UK,,,272,272,,,
1/15/1931 1:50,Mexico,16.053,-96.614,35,7.8ÿ{\displaystyle M_{\mathrm {w} }},,,68,68,,,
2/2/1931 22:46,New Zealand (seeÿ1931 Hawke's Bay earthquake),-39.772,176.025,35,7.7ÿ{\displaystyle M_{\mathrm {w} }},T,,256,256,256,,
2/10/1931 6:34,Indonesia,-5.433,102.458,35,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,18,18,,,
3/8/1931 1:50,Kingdom of Yugoslavia,41.337,22.666,25,6.8 UK,,,35,35,,,
3/31/1931 16:02,Nicaragua (seeÿ1931 Nicaragua earthquake),13.2,-85.7,,5.6 UK,F,,1000,1000,,,
4/27/1931 16:50,Armenia,39.2,46,22,6.3 UK,,,390,390,,,
6/7/1931 1:30,England (seeÿ1931 Dogger Bank earthquake),54.08,1.5,,6.1 UK,,,,,,1,
8/10/1931 21:18,China (seeÿ1931 Fuyun earthquake),46.571,89.965,35,7.9ÿ{\displaystyle M_{\mathrm {w} }},,,10000,10000,,,
8/27/1931 15:27,Pakistan,29.473,67.172,35,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,200,200,,,
9/21/1931 2:20,Japan,36.021,139.381,35,6.8 UK,,,16,16,,,
10/3/1931 19:13,Solomon Islands,-10.932,161.016,35,7.8ÿ{\displaystyle M_{\mathrm {w} }},T,,50,50,,,
11/2/1931 10:03,Japan,32.003,131.945,42.2,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,,1,1,,,
2/3/1932 6:16,Cuba,19.77,-75.85,25,6.8 UK,,,8,8,,,
3/14/1932 22:42,Venezuela,8.149,-71.974,35,6.8 UK,,,6,6,,,
4/6/1932 9:11,China,31.4,115,15,6.0 UK,,,6,6,,,
5/14/1932 13:11,Indonesia,0.258,126.169,35,8.1ÿ{\displaystyle M_{\mathrm {w} }},,,5,5,6,,
5/21/1932 10:10,Nicaragua,12.364,-87.894,35,6.9 UK,,,10,10,,,
6/3/1932 10:36,Mexico (1932 Jalisco earthquakes),19.457,-104.146,25,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,60,60,,,
6/18/1932 10:12,Mexico,19.452,-103.632,54.3,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,52,52,,,
6/22/1932 12:59,Mexico,19.028,-104.379,25,6.9 UK,T,,75,75,,,
9/26/1932 19:20,Greece (seeÿ1932 Ierissos earthquake),40.333,23.732,35,6.9 UK,T,,491,491,,,
12/25/1932 2:04,China (seeÿ1932 Changma earthquake),39.771,96.69,25,7.6ÿ{\displaystyle M_{\mathrm {w} }},,,275,275,,,
3/2/1933 17:31,Japan (seeÿ1933 Sanriku earthquake),39.224,144.622,35,8.4 UK,T,,3064,3064,3008,,
3/11/1933 1:55,United States (seeÿ1933 Long Beach earthquake),33.63,-118,,6.4ÿ{\displaystyle M_{\mathrm {w} }},,,,,,120,
4/23/1933 5:57,Greece,36.516,27.15,35,6.8 UK,,,74,74,,,
6/24/1933 21:54,Indonesia,-5.522,104.434,35,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,76,76,,,
8/25/1933 7:50,China (seeÿ1933 Diexi earthquake),31.81,103.541,25,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,6865,6865,,,
11/28/1933 11:09,Iran,32.1,56,27,6.3 UK,,,4,4,,,
1/12/1934 13:31,China,23.7,102.7,,6.0 UK,,,1,1,,,
1/15/1934 8:43,Nepal (seeÿ1934 Nepal?Bihar earthquake),26.773,86.762,35,8.1 UK,,,10700,10700,6000,,
1/4/1935 14:41,Turkey (seeÿ1935 Erdek?Marmara Islands earthquake),40.5,27.5,7,6.2 UK,,,5,5,,,
2/25/1935 2:51,Greece,36.084,24.703,35,6.8 UK,,,,,,,
3/5/1935 10:27,Iran,36.3,53.3,,6.0 UK,,,60,60,,,
4/11/1935 23:14,Iran,36.432,53.621,35,6.8 UK,,,500,500,,,
4/20/1935 22:02,Taiwan (seeÿ1935 Shinchiku-Taich? earthquake),24.364,120.613,35,7.1ÿ{\displaystyle M_{s}},,,3276,3276,3410,,
4/28/1935 0:00,China,29.4,102.3,,6.0 UK,,,2,2,,,
5/1/1935,Turkey (seeÿ1935 Digor earthquake),40.38,43.41,7,6.2 UK,,,,,,200,
5/30/1935 21:32,Pakistan (seeÿ1935 Balochistan earthquake),28.894,66.176,35,8.1ÿ{\displaystyle M_{\mathrm {w} }},,,60000,60000,60000,,https://en.wikipedia.org/wiki/1935_Quetta_earthquake
7/11/1935 18:35,Japan,35,138,10,6.3 UK,,,9,9,,,
1/9/1936 9:23,Colombia,1.1,-77.6,,7.0 UK,,,250,250,,,
2/7/1936 8:56,China,35.633,103.265,25,6.8 UK,,,42,42,,,
4/26/1936 23:59,China,28.733,103.497,25,6.8 UK,,,,,,,
5/16/1936 7:05,China,28.675,103.684,25,6.8 UK,,,550,550,,,
8/1/1936 6:24,China,34.2,105.7,,6.0 UK,,,144,144,,,
8/17/1936 0:00,China,26.6,103,,5.5 UK,,,30,30,,,
8/23/1936 21:12,Indonesia,5.296,94.759,35,7.1ÿ{\displaystyle M_{s}},T,,91,91,9,,
7/26/1937 3:47,Mexico,18.523,-95.878,35,7.2ÿ{\displaystyle m_{b}},,,34,34,,,
7/31/1937 20:35,China,35.252,115.153,25,6.9 UK,,,3833,3833,,,
8/20/1937 11:59,Philippines,14.318,121.547,35,7.3ÿ{\displaystyle M_{\mathrm {w} }},T,,1,1,,,
12/23/1937 13:18,Mexico,17.431,-98.287,35,7.4ÿ{\displaystyle M_{\mathrm {w} }},,,4,4,,,
4/19/1938 10:59,Turkey (seeÿ1938 K?r?ehir earthquake),39.439,34.015,35,6.8 UK,,,155,155,149,,
5/19/1938 17:08,Indonesia,-0.366,119.525,49.4,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,,8,8,,,
11/5/1938 8:43,Japan,37.009,142.045,35,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,1,1,,,
1/25/1939 3:32,Chile (seeÿ1939 Chill n earthquake),-36.2,-72.2,0,7.7ÿ{\displaystyle M_{\mathrm {w} }},,,28000,28000,30000,,
4/30/1939 2:55,Solomon Islands,-9.295,159.234,35,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,12,12,,,
5/1/1939 5:58,Japan,39.839,139.969,35,7.0ÿ{\displaystyle M_{s}},T,,27,27,,,
6/22/1939 19:19,Ghana,5.18,-0.13,13,6.4 UK,,,22,22,,,
9/19/1939 0:00,China,24.4,102.5,,5.5 UK,,,1,1,,,
12/26/1939 23:57,Turkey (seeÿ1939 Erzincan earthquake),39.77,39.533,35,7.8ÿ{\displaystyle M_{s}},,,32968,32968,32962,,
4/6/1940 13:43,China,23.9,102.3,,6.0 UK,,,181,181,,,
5/7/1940 22:23,Georgia,41.7,43.8,19,6.0 UK,,,5,5,,,
5/19/1940 4:36,United States (seeÿ1940 El Centro earthquake),33.222,-115.697,15,6.9 UK,,,9,9,9,,
5/24/1940 16:33,Peru,-11.119,-77.629,50.1,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,,250,250,249,,
6/19/1940 0:00,China,24.4,102.5,,5.5 UK,,,2,2,,,
8/1/1940 15:08,Japan,44.508,139.829,35,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,,10,10,,,
11/10/1940 1:39,Romania (seeÿ1940 Vrancea earthquake),45.773,26.655,122,7.3ÿ{\displaystyle m_{b}},,,1000,1000,980,,
1/11/1941 8:32,Yemen,16.4,43.5,,5.9 UK,,,1200,1200,,,
2/16/1941 16:38,Iran,33.5,58.6,,6.3 UK,,,680,680,,,
4/15/1941 19:09,Mexico,18.677,-102.957,35,7.6ÿ{\displaystyle M_{\mathrm {w} }},,,90,90,,,
5/5/1941 15:18,China,47,127.2,,6.0 UK,,,132,132,,,
5/16/1941 7:14,China,23.514,99.408,25,6.9 UK,,,16,16,,,
6/26/1941 11:52,India,12.149,92.478,49.1,7.7ÿ{\displaystyle M_{\mathrm {w} }},T,,,,,,
9/10/1941 21:53,Turkey (seeÿ1941 Van?Erci? earthquake),39.5,43.3,28,6.0 UK,,,500,500,,,
10/8/1941 15:24,China,31.7,102.3,,6.0 UK,,,139,139,,,
11/12/1941 10:04,Turkey,39.7,39.4,70,5.9 UK,,,15,15,,,
11/18/1941 16:46,Japan,32,132,0,7.7ÿ{\displaystyle M_{\mathrm {w} }},T,,2,2,,,
12/16/1941 19:19,Taiwan (seeÿ1941 Chungpu earthquake),23.251,120.391,35,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,357,357,,,
12/26/1941 14:48,Burma,21.076,99.145,25,7.0ÿ{\displaystyle M_{s}},,,,,,,
2/1/1942 17:30,China,23.1,100.3,,6.8 UK,,,90,90,,,
5/14/1942 2:13,Ecuador,0.012,-79.902,35,7.8ÿ{\displaystyle M_{\mathrm {w} }},,,200,200,200,,
8/6/1942 23:37,Guatemala,13.78,-90.913,35,7.7ÿ{\displaystyle M_{\mathrm {w} }},,,38,38,,,
8/24/1942 22:50,Peru,-14.975,-74.92,35,7.7ÿ{\displaystyle M_{\mathrm {w} }},T,,30,30,,,
8/27/1942 6:14,Albania,41.7,20.4,33,6.0 UK,,,43,43,,,
12/20/1942 14:03,Turkey (seeÿ1942 Niksar?Erbaa earthquake),40.671,36.45,35,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,3000,3000,3000,,
1/20/1943 15:32,Turkey,40.8,30.5,,6.6 UK,,,285,285,,,
2/22/1943 9:20,Mexico,17.75,-101.5,0,7.4ÿ{\displaystyle M_{\mathrm {w} }},,,11,11,,,
4/6/1943 16:07,Chile,-30.75,-72,0,8.2ÿ{\displaystyle M_{\mathrm {w} }},T,,18,18,,,
6/20/1943 15:33,Turkey (seeÿ1943 Adapazar??Hendek earthquake),40.6,30.5,15,6.2 UK,,,336,336,,,
7/23/1943 14:53,Indonesia,-9.5,110,90,7.6ÿ{\displaystyle m_{b}},,,213,213,213,,
9/10/1943 8:36,Japan (seeÿ1943 Tottori earthquake),35.25,134,0,7.0ÿ{\displaystyle M_{\mathrm {w} }},F,,1083,1083,1083,,
11/26/1943 22:20,Turkey (seeÿ1943 Tosya?Ladik earthquake),41,34,0,7.5ÿ{\displaystyle M_{\mathrm {w} }},,,4020,4020,2824,,
12/2/1943 5:08,Taiwan,22.9,121.5,0,6.5ÿ{\displaystyle M_{s}},,,3,3,,,
1/15/1944 23:49,Argentina (seeÿ1944 San Juan earthquake),-31.25,-68.75,50,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,8000,8000,10000,,
2/1/1944 3:22,Turkey (seeÿ1944 Bolu?Gerede earthquake),41.5,32.5,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,3959,3959,3959,,
3/9/1944 22:12,China,44,84,0,7.1ÿ{\displaystyle M_{s}},,,4,4,,,
4/5/1944 0:00,Iran,36.8,54.5,7,4.8 UK,,,20,20,,,
10/6/1944 21:34,Turkey,39.4,26.7,,6.8 Ms,,,30,30,,,
12/7/1944 4:35,Japan (seeÿ1944 T?nankai earthquake),33.75,136,0,8.1 UK,T,,1251,1251,998,,
1/12/1945 18:38,Japan (seeÿ1945 Mikawa earthquake),34.75,136.75,0,6.8ÿ{\displaystyle M_{s}},T,,2306,2306,1961,,
2/10/1945 4:57,Japan,41.25,142.5,50,7.1ÿ{\displaystyle M_{s}},T,,2,2,,,
3/20/1945 7:59,Turkey,37.4,35.8,60,6.0 UK,,,300,300,,,
9/13/1945 11:17,Chile,-33.25,-70.5,100,7.0ÿ{\displaystyle m_{b}},,,4,4,,,
9/23/1945 15:34,China,39.5,119,,6.3 UK,,,600,600,,,
11/27/1945 21:56,Pakistan (seeÿ1945 Balochistan earthquake),24.5,63,0,8.0ÿ{\displaystyle M_{\mathrm {w} }},T,,300,300,4000,,
2/12/1946 2:43,Algeria,36,5,,6.0 UK,,,277,277,,,
2/21/1946 15:43,Turkey,38.2,31.8,60,5.6 UK,,,12,12,,,
4/1/1946 12:28,United States (seeÿ1946 Aleutian Islands earthquake),52.75,-163.5,0,7.3ÿ{\displaystyle M_{s}},T,,173,173,165,,
5/31/1946 3:12,Turkey (seeÿ1946 Varto?H?n?s earthquake),39.3,41.2,,5.9 UK,,,1300,1300,,,
6/23/1946 17:13,Canada (seeÿ1946 Vancouver Island earthquake),49.75,-124.5,0,7.6ÿ{\displaystyle M_{\mathrm {w} }},T,,1,1,,,
8/2/1946 19:18,Chile,-26.5,-70.5,50,7.1ÿ{\displaystyle M_{s}},,,2,2,,,
8/4/1946 17:51,Dominican Republic (seeÿ1946 Dominican Republic earthquake),19.25,-69,0,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,100,100,73,,
11/2/1946 18:28,Kyrgyzstan,41.5,72.5,0,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,,,,,
11/4/1946 21:47,Turkmenistan,39.75,54.5,0,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,400,400,,,
11/10/1946 17:42,Peru,-8.5,-77.5,0,6.8ÿ{\displaystyle M_{\mathrm {w} }},,,1400,1400,1400,,
12/4/1946 22:46,Taiwan (seeÿ1946 Hsinhua earthquake),22.5,122.5,0,6.6ÿ{\displaystyle M_{s}},,,74,74,,,
12/20/1946 19:19,Japan (seeÿ1946 Nankai earthquake),32.5,134.5,0,8.1 UK,"T,F",,1330,1330,2000,,
3/26/1947 20:48,China,25,102,,5.5 UK,,,4,4,,,
9/23/1947 12:28,Iran,33,59,0,6.8 UK,,,500,500,,,
9/26/1947 16:01,Japan,24.75,123,110,7.4ÿ{\displaystyle m_{b}},,,5,5,,,
10/6/1947 19:55,Greece,37,22,0,6.9ÿ{\displaystyle M_{s}},T,,,,,,
11/1/1947 14:58,Peru,-10.5,-75,0,7.7ÿ{\displaystyle M_{\mathrm {w} }},,,233,233,233,,
1/24/1948 17:46,Philippines,10.5,122,0,8.1ÿ{\displaystyle M_{\mathrm {w} }},T,,72,72,27,,
5/11/1948 8:55,Peru,-17.5,-70.25,70,7.4ÿ{\displaystyle m_{b}},,,4,4,,,
5/25/1948 7:11,China,29.5,100.5,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,737,737,,,
5/28/1948 5:36,Peru,-13,-76.5,60,7.0 UK,,,4,4,,,
6/15/1948 11:44,Japan,33.75,135.25,0,6.9 UK,,,2,2,,,
6/27/1948 0:08,China,26.4,99.7,,6.8 UK,,,280,280,,,
6/28/1948 7:13,Japan (seeÿ1948 Fukui earthquake),36.5,136,0,7.0ÿ{\displaystyle M_{\mathrm {w} }},F,,3769,3769,5131,,
6/30/1948 12:21,Greece,38.5,20.5,33,6.4 UK,,,6,6,,,
8/25/1948 6:09,Argentina (seeÿ1948 Salta earthquake),-24.5,-65,50,6.9ÿ{\displaystyle M_{s}},,,5,5,,,
10/5/1948 20:12,Turkmenistan (seeÿ1948 Ashgabat earthquake),37.5,58,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,19800,19800,110000,,
10/8/1948 19:01,China,27.4,104,,5.8 UK,,,9,9,,,
12/4/1948 0:22,Mexico,22,-106.5,0,6.9 UK,,,4,4,,,
2/23/1949 16:08,China,41,83.5,0,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,12,12,,,
4/13/1949 19:55,United States (seeÿ1949 Olympia earthquake),47.25,-122.5,60,6.5ÿ{\displaystyle M_{s}},,,8,8,8,,
4/20/1949 3:29,Chile,-38,-73.5,70,7.1ÿ{\displaystyle m_{b}},,,57,57,,,
7/10/1949 3:53,Tajik Soviet Socialist Republicÿ(seeÿ1949 Khait earthquake),39,70.5,0,7.6ÿ{\displaystyle M_{\mathrm {w} }},,,12000,12000,,,
7/23/1949 15:03,Turkey,38.6,26.3,0,6.8 UK,T,,7,7,,,
8/5/1949 19:08,Ecuador (seeÿ1949 Ambato earthquake),-1.5,-78.25,0,6.8 UK,,,6000,6000,6000,,
8/17/1949 18:44,Turkey (seeÿ1949 Karl?ova earthquake),39.5,40.6,0,6.8 UK,,,320,320,437,,
12/17/1949 6:53,Chile (seeÿ1949 Tierra del Fuego earthquake),-54,-71,0,7.8ÿ{\displaystyle M_{\mathrm {w} }},,,1,1,,,
12/17/1949 15:07,Chile,-54,-71,0,7.8ÿ{\displaystyle M_{\mathrm {w} }},,,3,3,,,
12/29/1949 3:03,Philippines,18,121,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},T,,15,15,,,
5/21/1950 18:37,Peru,-13.5,-72,,6.0 UK,,,120,120,,,
6/19/1950 12:36,Indonesia,-6.25,112,0,6.8 UK,,,16,16,,,
8/3/1950 22:18,Venezuela,10.5,-68,8,6.8 UK,,,100,100,,,
8/15/1950 14:09,China (seeÿ1950 Assam?Tibet earthquake),28.5,96.5,0,8.6 UK,L,,3300,3300,1500,,
12/9/1950 21:38,Chile,-23.5,-67.5,100,7.7ÿ{\displaystyle m_{b}},,,4,4,,,
7/9/1951 0:04,Mexico,16.1,-96.8,50,6.2 UK,,,1,1,,,
8/13/1951 18:33,Turkey (seeÿ1951 Kur?unlu earthquake),40.8,33.4,0,6.7 UK,,,50,50,,,
10/21/1951 21:34,Taiwan (seeÿ1951 East Rift Valley earthquakes),23.75,121.5,0,7.5ÿ{\displaystyle M_{\mathrm {w} }},,,68,68,,,
11/24/1951 18:50,Taiwan (seeÿ1951 East Rift Valley earthquakes),23,122.5,0,7.3ÿ{\displaystyle M_{\mathrm {w} }},,,17,17,,,
1/3/1952 6:03,Turkey (seeÿ1952 Hasankale earthquake),39.9,41.7,,6.0 UK,,,103,103,,,
3/4/1952 1:22,Japan,42.5,143,0,8.1ÿ{\displaystyle M_{\mathrm {w} }},T,,33,33,30,,
6/11/1952 0:31,Argentina (seeÿ1952 San Juan earthquake),-31.581,-68.467,25,6.5ÿ{\displaystyle M_{s}},,,5,5,,,
7/17/1952 16:09,Japan,34.4,135.8,64,6.8 UK,,,9,9,,,
7/21/1952 11:52,United States (seeÿ1952 Kern County earthquake),34.949,-119.046,10,7.3 UK,,,12,12,14,,
8/17/1952 16:02,China,30.797,91.648,10,7.7ÿ{\displaystyle M_{\mathrm {w} }},,,54,54,,,
8/22/1952 22:41,United States,35.333,-118.917,16,5.8 UK,,,2,2,,,
10/22/1952 0:00,Turkey,36.5,35.5,,5.0 UK,,,10,10,,,
11/4/1952 16:58,Russian Federation (seeÿKamchatka earthquakes),52.755,160.057,22.2,9.0 UK,T,,,,,,
1/25/1953 19:47,Haiti,18.4,-73.4,,5.7 UK,,,2,2,,,
2/12/1953 8:15,Iran,35.4,55.1,,6.4 UK,,,973,973,,,
3/18/1953 19:06,Turkey (seeÿ1953 Yenice?G”nen earthquake),40.12,27.621,15,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,1103,1103,1200,,
5/6/1953 17:16,Chile,-37.254,-72.92,68.4,7.5ÿ{\displaystyle m_{b}},T,,19,19,,,
8/12/1953 9:23,Greece (seeÿ1953 Ionian earthquake),38.046,20.766,15,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,800,800,455,,
9/10/1953 4:06,Cyprus,35,32.5,,6.5 UK,,,40,40,,,
